index,bank,raw,intensity,red,green,blue
0,alpha,0x0000,0,0,0,0
1,alpha,0xffff,15,15,15,15
2,alpha,0xdfff,13,15,15,15
3,alpha,0xafff,10,15,15,15
4,alpha,0x0000,0,0,0,0
5,alpha,0x2f00,2,15,0,0
6,alpha,0x7f00,7,15,0,0
7,alpha,0xff00,15,15,0,0
8,alpha,0x0000,0,0,0,0
9,alpha,0x208f,2,0,8,15
10,alpha,0x708f,7,0,8,15
11,alpha,0xf08f,15,0,8,15
12,alpha,0x0000,0,0,0,0
13,alpha,0x2ff0,2,15,15,0
14,alpha,0x7ff0,7,15,15,0
15,alpha,0xfff0,15,15,15,0
16,alpha,0x0000,0,0,0,0
17,alpha,0x20f0,2,0,15,0
18,alpha,0x70f0,7,0,15,0
19,alpha,0xf0f0,15,0,15,0
20,alpha,0x0000,0,0,0,0
21,alpha,0x0000,0,0,0,0
22,alpha,0xf888,15,8,8,8
23,alpha,0xf500,15,5,0,0
24,alpha,0x0000,0,0,0,0
25,alpha,0x0000,0,0,0,0
26,alpha,0x0000,0,0,0,0
27,alpha,0xff00,15,15,0,0
28,alpha,0x0000,0,0,0,0
29,alpha,0xfc80,15,12,8,0
30,alpha,0xfca4,15,12,10,4
31,alpha,0x0000,0,0,0,0
32,alpha,0x0000,0,0,0,0
33,alpha,0xf532,15,5,3,2
34,alpha,0xfb63,15,11,6,3
35,alpha,0xffff,15,15,15,15
36,alpha,0x0000,0,0,0,0
37,alpha,0x0000,0,0,0,0
38,alpha,0x0000,0,0,0,0
39,alpha,0xffff,15,15,15,15
40,alpha,0x0000,0,0,0,0
41,alpha,0x0000,0,0,0,0
42,alpha,0xfff0,15,15,15,0
43,alpha,0xff60,15,15,6,0
44,alpha,0x0000,0,0,0,0
45,alpha,0xf050,15,0,5,0
46,alpha,0xf080,15,0,8,0
47,alpha,0xf0f0,15,0,15,0
48,alpha,0x3f00,3,15,0,0
49,alpha,0x3f00,3,15,0,0
50,alpha,0x3f00,3,15,0,0
51,alpha,0x3f00,3,15,0,0
52,alpha,0x300f,3,0,0,15
53,alpha,0x300f,3,0,0,15
54,alpha,0x300f,3,0,0,15
55,alpha,0x300f,3,0,0,15
56,alpha,0x2ff0,2,15,15,0
57,alpha,0x2ff0,2,15,15,0
58,alpha,0x2ff0,2,15,15,0
59,alpha,0x2ff0,2,15,15,0
60,alpha,0x30f0,3,0,15,0
61,alpha,0x30f0,3,0,15,0
